species,family,genus,specific,english,status,authority,ID,RedList,WriteUp,Phytogeography
Taraxacum pectinatiforme,COMPOSITAE,Taraxacum,pectinatiforme,Pectinate-leaved Dandelion,introduced,H.Lindb.,Vas_3898,,"
Rare (3). T. pectinatiforme is probably introduced and is found in grassy and ruderal habitats in scattered localities in Britain but very rarely in Ireland. In northern Lancashire it was found at Cockerham (SD45G, L) and near Carnforth (SD47V).

Taraxacum trilobatum Palmgr.
Very rare (1). This is an introduced species of grassy and ruderal habitats found in a few localities in Britain. In northern Lancashire T. trilobatum was found at Scotforth (SD45Z).

Taraxacum planum Raunk.

Very rare (1). This introduced species is found on the verges of major roads in Britain. In northern Lancashire there is an unlocalised record of T. planum from a trackside in the 10km square SD57.

Taraxacum polyodon Dahlst.

Rare (6). T. polyodon may be an introduction but it is found in grassy and ruderal habitats throughout the British Isles. In northern Lancashire it was found at Wray-with-Botton (SD56Y), in the Gressingham and Hornby areas (SD56N), Lancaster (SD46Q), on the Lune estuary (SD46K), Newton-with-Clifton (SD42U) and Ribchester (SD63N).

Taraxacum multicolorans Hagend., Soest & Zevenb.

Very rare (1). This is an introduced species found in ruderal habitats, mostly in southern England. In northern Lancashire T. multicolorans was found near Carnforth (SD46Z).

Taraxacum xanthostigma H. Lindb.

",Eurosiberian–Temperate
Taraxacum pseudoretroflexum,COMPOSITAE,Taraxacum,pseudoretroflexum,Spur-lobed Dandelion,native,M.P.Christ.,Vas_7633,,"
Very rare (1). This is an introduction found in a few English localities. T. pseudoretroflexum was found near Carnforth (SD47V).

Taraxacum oblongatum Dahlst.

Occasional (9). T. oblongatum is found mostly in grassy places, including roadsides, throughout most of Britain and occasionally in Ireland. It is probably found throughout northern Lancashire.

Taraxacum cophocentrum Dahlst.

Rare (2). This is an endemic species found in grassy places and wood margins in Britain and more rarely in Ireland. In northern Lancashire T. cophocentrum was found at Hornby-with- Farleton (SD56Y) and near Abbeystead (SD55M). There is also an unlocalised record for the 10km square SD57.

Taraxacum pachymerum G.E. Haglund

Very rare (1). This is probably an introduced species found in grassy and ruderal habitats in Britain and eastern Ireland. In northern Lancashire T. pachymerum was found at Heysham (SD46A).

Taraxacum dilatatum H. Lindb.

Rare (2). T. dilatatum is found in grassy and ruderal habitats, mostly in western Britain. In northern Lancashire it was found at Yealand Conyers (SD57C) and probably at Warton (SD47W).

Taraxacum tanyphyllum Dahlst.
",Eurosiberian–Temperate
Taraxacum xanthostigma,COMPOSITAE,Taraxacum,xanthostigma,Ochre-styled Dandelion,native,H.Lindb.,Vas_3933,,"
Occasional (9). T. xanthostigma may have been introduced and is found in grassy and ruderal habitats throughout Britain and more occasionally in Ireland. So far T. xanthostigma has only been found in the north-west of northern Lancashire but it is probably more widespread than this. However a similar species known by the work name T ‘anceps’ H. Øllg. in ed. has been recorded from a number of British localities. In northern Lancashire T. ‘anceps’ was found near Carnforth (SD46Z), Ellel (SD55C) and near Longridge (SD63J).

Taraxacum longisquameum H. Lindb.

Occasional (7). This is found in grassy, often semi-natural habitats, throughout Britain but especially in coastal areas. It also occurs occasionally in northern Ireland. In northern Lancashire T. longisquameum was found in scattered coastal localities and in the Ribble valley.

Taraxacum scotiniforme Dahlst. Ex Haglund

Very rare (1). This is probably introduced and is found mostly in grassy areas in southern England. T. scotiniforme was found in northern Lancashire on a grassy roadside by the Keer estuary near Carnforth (SD47V).

Taraxacum sublongisquameum M.P. Christ.

Rare (5). This is an introduced species of roadsides found in a few localities in England and Scotland. In northern Lancashire T. sublongisquameum was found at Over Kellet (SD57L), Ellel (SD45X & 55B), near Carnforth (SD46Z) and Lancaster SD46W).

Taraxacum fasciatum Dahlst.

Occasional (22). This occurs mostly in grassy places on roadsides throughout Britain and occasionally in Ireland. T. fasciatum probably occurs throughout northern Lancashire.

Taraxacum subxanthostigma M.P. Christ. Ex Øllg.
",Eurosiberian–Temperate
Taraxacum fasciatum,COMPOSITAE,Taraxacum ,fasciatum,Dense-bracted Dandelion,native,Dahlst.,Vas_3848,,"
Occasional (22). This occurs mostly in grassy places on roadsides throughout Britain and occasionally in Ireland. T. fasciatum probably occurs throughout northern Lancashire.

Taraxacum subxanthostigma M.P. Christ. Ex Øllg.

Rare (2). This is an introduced species found in a few scattered localities in England. In northern Lancashire T. subxanthostigma was found on roadsides near Galgate (SD45W) and Conder Green (SD45S).

Taraxacum acutifidum M.P. Christ.

Rare (2). This is an introduced species known from Wales, the West Midlands and northern England. In northern Lancashire T. acutifidum was found on roadsides at Melling (SD67A) and at Weeton (SD33X).

Taraxacum melanthoides Dahlst. Ex M.P. Christ. & Wiinst.

Very rare (1). T. melanthoides is found in old pastures in a few localities in Britain. In northern Lancashire it was found in a wet meadow at Yealand Redmayne (SD47T).

Taraxacum lucidum Dahlst.

Very rare (1). This is probably introduced and occurs in grassy ruderal habitats in a few English localities. In northern Lancashire T. lucidum was found at Hothersall (SD63I).


",Eurosiberian–Temperate
Taraxacum longisquameum,COMPOSITAE,Taraxacum ,longisquameum,Elongate-bracted Dandelion,native,H.Lindb.,Vas_3878,,"
Occasional (7). This is found in grassy, often semi-natural habitats, throughout Britain but especially in coastal areas. It also occurs occasionally in northern Ireland. In northern Lancashire T. longisquameum was found in scattered coastal localities and in the Ribble valley.

Taraxacum scotiniforme Dahlst. Ex Haglund

Very rare (1). This is probably introduced and is found mostly in grassy areas in southern England. T. scotiniforme was found in northern Lancashire on a grassy roadside by the Keer estuary near Carnforth (SD47V).

Taraxacum sublongisquameum M.P. Christ.

Rare (5). This is an introduced species of roadsides found in a few localities in England and Scotland. In northern Lancashire T. sublongisquameum was found at Over Kellet (SD57L), Ellel (SD45X & 55B), near Carnforth (SD46Z) and Lancaster SD46W).

Taraxacum fasciatum Dahlst.

Occasional (22). This occurs mostly in grassy places on roadsides throughout Britain and occasionally in Ireland. T. fasciatum probably occurs throughout northern Lancashire.

Taraxacum subxanthostigma M.P. Christ. Ex Øllg.

Rare (2). This is an introduced species found in a few scattered localities in England. In northern Lancashire T. subxanthostigma was found on roadsides near Galgate (SD45W) and Conder Green (SD45S).

Taraxacum acutifidum M.P. Christ.
",Eurosiberian–Temperate
Taraxacum maculatum,COMPOSITAE,Taraxacum ,maculatum,Yellowish-green Dandelion,introduced,Jord.,Vas_5466,,Text,Eurosiberian–Temperate
Taraxacum melanthoides,COMPOSITAE,Taraxacum ,melanthoides,Bluish-leaved Dandelion,native,Dahlst. ex M.P.Christ. & Wiinst.,Vas_3985,,"
Very rare (1). T. melanthoides is found in old pastures in a few localities in Britain. In northern Lancashire it was found in a wet meadow at Yealand Redmayne (SD47T).

Taraxacum lucidum Dahlst.

Very rare (1). This is probably introduced and occurs in grassy ruderal habitats in a few English localities. In northern Lancashire T. lucidum was found at Hothersall (SD63I).














",Eurosiberian–Temperate
Taraxacum scotiniforme,COMPOSITAE,Taraxacum ,scotiniforme,Deltoid-lobed Dandelion,introduced,Dahlst. ex G.E.Haglund,Vas_3882,,"
Very rare (1). This is probably introduced and is found mostly in grassy areas in southern England. T. scotiniforme was found in northern Lancashire on a grassy roadside by the Keer estuary near Carnforth (SD47V).

Taraxacum sublongisquameum M.P. Christ.

Rare (5). This is an introduced species of roadsides found in a few localities in England and Scotland. In northern Lancashire T. sublongisquameum was found at Over Kellet (SD57L), Ellel (SD45X & 55B), near Carnforth (SD46Z) and Lancaster SD46W).

Taraxacum fasciatum Dahlst.

Occasional (22). This occurs mostly in grassy places on roadsides throughout Britain and occasionally in Ireland. T. fasciatum probably occurs throughout northern Lancashire.

Taraxacum subxanthostigma M.P. Christ. Ex Øllg.

Rare (2). This is an introduced species found in a few scattered localities in England. In northern Lancashire T. subxanthostigma was found on roadsides near Galgate (SD45W) and Conder Green (SD45S).

Taraxacum acutifidum M.P. Christ.

Rare (2). This is an introduced species known from Wales, the West Midlands and northern England. In northern Lancashire T. acutifidum was found on roadsides at Melling (SD67A) and at Weeton (SD33X).

Taraxacum melanthoides Dahlst. Ex M.P. Christ. & Wiinst.
",Eurosiberian–Temperate
Taraxacum fagerstroemii,COMPOSITAE,Taraxacum,fagerstroemii,Fagerstrom's Dandelion,introduced,Såltin,Vas_3960,,"
Very rare (1). This is an introduced species found in grassy places and on road verges in scattered localities in Britain. In northern Lancashire T. fagerstroemii was found at Bolton-le-Sands (SD46Y).

Taraxacum pectinatiforme H. Lindeb.

Rare (3). T. pectinatiforme is probably introduced and is found in grassy and ruderal habitats in scattered localities in Britain but very rarely in Ireland. In northern Lancashire it was found at Cockerham (SD45G, L) and near Carnforth (SD47V).

Taraxacum trilobatum Palmgr.
Very rare (1). This is an introduced species of grassy and ruderal habitats found in a few localities in Britain. In northern Lancashire T. trilobatum was found at Scotforth (SD45Z).

Taraxacum planum Raunk.

Very rare (1). This introduced species is found on the verges of major roads in Britain. In northern Lancashire there is an unlocalised record of T. planum from a trackside in the 10km square SD57.

Taraxacum polyodon Dahlst.

Rare (6). T. polyodon may be an introduction but it is found in grassy and ruderal habitats throughout the British Isles. In northern Lancashire it was found at Wray-with-Botton (SD56Y), in the Gressingham and Hornby areas (SD56N), Lancaster (SD46Q), on the Lune estuary (SD46K), Newton-with-Clifton (SD42U) and Ribchester (SD63N).

Taraxacum multicolorans Hagend., Soest & Zevenb.

",Eurosiberian–Temperate
Taraxacum latisectum,COMPOSITAE,Taraxacum,latisectum,Broad-lobed Dandelion,native,H.Lindb.,Vas_3874,,"
Rare (3). This is found in grassy places, especially fertile pastures. It is widespread but local in England and Wales but rare in Scotland and Ireland. In northern Lancashire T. latisectum was found in Silverdale (SD47T), Ashton-with-Stodday (SD45T) and in Over Wyresdale (SD55S).

Taraxacum huelphersianum C.E. Haglund

Very rare (1). T. huelphersianum is probably introduced and occurs in grassy and ruderal habitats in scattered localities in Britain. In northern Lancashire it was found at Conder Green (SD45S).

Taraxacum fagerstroemii Såltin

Very rare (1). This is an introduced species found in grassy places and on road verges in scattered localities in Britain. In northern Lancashire T. fagerstroemii was found at Bolton-le-Sands (SD46Y).

Taraxacum pectinatiforme H. Lindeb.

Rare (3). T. pectinatiforme is probably introduced and is found in grassy and ruderal habitats in scattered localities in Britain but very rarely in Ireland. In northern Lancashire it was found at Cockerham (SD45G, L) and near Carnforth (SD47V).

Taraxacum trilobatum Palmgr.
Very rare (1). This is an introduced species of grassy and ruderal habitats found in a few localities in Britain. In northern Lancashire T. trilobatum was found at Scotforth (SD45Z).

Taraxacum planum Raunk.

",Eurosiberian–Temperate
Taraxacum macranthoides,COMPOSITAE,Taraxacum,macranthoides,Large-flowered Dandelion,introduced,G.E.Haglund,Vas_3984,,"
Very rare (1). This is an introduced species found in a few British localities. In northern Lancashiare T. macranthoides was found on a roadside at Carnforth (SD57A).

Taraxacum rhamphodes G.E. Haglund

Occasional (8). This introduced species is found in grassy and ruderal habitats throughout Britain. T. rhamphodes was found in scattered localities in northern Lancashire.

Taraxacum vastisectum Markl. Ex Puol.

Rare (4). T. vastisectum is an introduced  species found in grassy and ruderal habitats in scattered localities in Britain. In northern Lancashire it was found at Thurnham (SD45M), Ashton-with-Stodday (SD45N), Cockerham (SD45F) and near Galgate (SD45X).

Taraxacum cordatum Palmgr.

Occasional (27). This is found in coastal areas, on roadsides and in ruderal habitats. It is found throughout the British Isles. In northern Lancashire T. cordatum was found throughout the area.

Taraxacum sagittipotens Dahlst. & Ohlsen ex G.E. Haglund

Rare (5). T. sagittipotens is found in grassy and ruderal habitats throughout Britain. In northern Lancashire it was found at Heysham (SD46F) and at various sites in and around Lancaster (SD46K, R, V & W).

Taraxacum hexamense A.J. Richards
",Eurosiberian–Temperate
Taraxacum pannulatum,COMPOSITAE,Taraxacum,pannulatum,Brown-ribbed Dandelion,native,Dahlst.,Vas_3997,,"
Occasional (8). T. pannulatum is probably introduced and is found in grassy and ruderal habitats in many parts of Britain but especially in western areas. It is found in scattered localities in the north of northern Lancashire but it is probably more widespread than this suggests.

Taraxacum lingulatum Markl.

Frequent (32). This is a common species found throughout the British Isles in grassy and ruderal habitats. It was found throughout northern Lancashire.

Taraxacum macranthoides G.E. Haglund

Very rare (1). This is an introduced species found in a few British localities. In northern Lancashiare T. macranthoides was found on a roadside at Carnforth (SD57A).

Taraxacum rhamphodes G.E. Haglund

Occasional (8). This introduced species is found in grassy and ruderal habitats throughout Britain. T. rhamphodes was found in scattered localities in northern Lancashire.

Taraxacum vastisectum Markl. Ex Puol.

Rare (4). T. vastisectum is an introduced  species found in grassy and ruderal habitats in scattered localities in Britain. In northern Lancashire it was found at Thurnham (SD45M), Ashton-with-Stodday (SD45N), Cockerham (SD45F) and near Galgate (SD45X).

Taraxacum cordatum Palmgr.
",Eurosiberian–Temperate
Taraxacum procerisquameum,COMPOSITAE,Taraxacum,procerisquameum,Large-headed Dandelion,introduced,H.Øllg.,Vas_3905,,Text,Eurosiberian–Temperate
Taraxacum rhamphodes,COMPOSITAE,Taraxacum,rhamphodes,Robust Dandelion,native,G.E.Haglund,Vas_4008,,"
Occasional (8). This introduced species is found in grassy and ruderal habitats throughout Britain. T. rhamphodes was found in scattered localities in northern Lancashire.

Taraxacum vastisectum Markl. Ex Puol.

Rare (4). T. vastisectum is an introduced  species found in grassy and ruderal habitats in scattered localities in Britain. In northern Lancashire it was found at Thurnham (SD45M), Ashton-with-Stodday (SD45N), Cockerham (SD45F) and near Galgate (SD45X).

Taraxacum cordatum Palmgr.

Occasional (27). This is found in coastal areas, on roadsides and in ruderal habitats. It is found throughout the British Isles. In northern Lancashire T. cordatum was found throughout the area.

Taraxacum sagittipotens Dahlst. & Ohlsen ex G.E. Haglund

Rare (5). T. sagittipotens is found in grassy and ruderal habitats throughout Britain. In northern Lancashire it was found at Heysham (SD46F) and at various sites in and around Lancaster (SD46K, R, V & W).

Taraxacum hexamense A.J. Richards

Very rare (1). This is probably an endemic species found in grassy places in a few scattered localities in Britain. In northern Lancashire T. hexamense was found at Bolton-by-Bowland (SD74U).

Taraxacum ekmanii Dahlst.
",Eurosiberian–Temperate
Taraxacum acutifrons,COMPOSITAE,Taraxacum ,acutifrons,Acute-leaved Dandelion,native,Markl.,Vas_3935,,"
Rare (2). This introduced species is found on roadsides and in ruderal habitats in western England and Wales. In northern Lancashire T. acutifrons was found at Over Kellet (SD57K) and near Carnforth (SD57A).

Taraxacum tumentilobum Markl. Ex Puol.

Rare (2). T. tumentilobum is probably introduced and occurs in grassy and ruderal habitats in scattered localities throughout Britain. In northern Lancashire it was found at Tatham (SD66J) and Thurnham (SD45H).

Taraxacum intumescens G.E. Haglund

Very rare (1). This is an uncommon introduction of roadsides and ruderal habitats found mostly in southern England. In northern Lancashire T. intumescens was found at Longridge (SD63D).

Taraxacum ancistrolobum Dahlst.

Frequent (33). This is found in grassy and ruderal habitats throughout Britain but it is very rare in Ireland. T. ancistrolobum was found throughout northern Lancashire.

Taraxacum sellandii Dahlst.

Frequent (41). This is one of the commonest dandelions and is found in grassy and ruderal habitats throughout the British Isles. T. sellandii was found throughout northern Lancashire.

Taraxacum altissimum H. Lindb.
",Eurosiberian–Temperate
Taraxacum ancistrolobum,COMPOSITAE,Taraxacum ,ancistrolobum,Few-lobed Dandelion,native,Dahlst.,Vas_3808,,"
Frequent (33). This is found in grassy and ruderal habitats throughout Britain but it is very rare in Ireland. T. ancistrolobum was found throughout northern Lancashire.

Taraxacum sellandii Dahlst.

Frequent (41). This is one of the commonest dandelions and is found in grassy and ruderal habitats throughout the British Isles. T. sellandii was found throughout northern Lancashire.

Taraxacum altissimum H. Lindb.

Rare (2). This is probably introduced and is found in grassy and ruderal habitats in scattered localities in Britain. It is uncommon. In northern Lancashire T. altissimum was found at Thurnham (SD45M) and Longridge (SD63D).

Taraxacum interveniens G.E. Haglund

Very rare (1). This is probably introduced and occurs in grassy and ruderal habitats in scattered localities in Britain. It is particularly associated with large urban areas. In northern Lancashire T. interveniens was found near Glasson Dock (SD45M).

Taraxacum angustisquameum Dahlst. Ex H. Lindb.

Rare (2). T. angustisquameum is probably introduced and is found in grassy and ruderal habitats in scattered localities in Britain. In northern Lancashire it was found near Carnforth (SD46Z) and near Blackpool (SD33L).

Taraxacum stereodes Ekman ex G.E. Haglund
",Eurosiberian–Temperate
Taraxacum cyanolepis,COMPOSITAE,Taraxacum ,cyanolepis,Bluish-bracted Dandelion,native,Dahlst.,Vas_3833,,"
Rare (5). This is found in grasslands throughout the British Isles but especially in Scotland. It has apparently become less common since 1970 (Dudman and Richards, 1997) and is absent from large areas of Britain. In northern Lancashire T. cyanolepis was found near Carnforth (SD57A), Burrow-with-Burrow (SD67A), Goosnargh (SD53P), Hothersall (SD63I) and Weeton-with-Preese (SD33X).

Taraxacum acutifrons Markl.

Rare (2). This introduced species is found on roadsides and in ruderal habitats in western England and Wales. In northern Lancashire T. acutifrons was found at Over Kellet (SD57K) and near Carnforth (SD57A).

Taraxacum tumentilobum Markl. Ex Puol.

Rare (2). T. tumentilobum is probably introduced and occurs in grassy and ruderal habitats in scattered localities throughout Britain. In northern Lancashire it was found at Tatham (SD66J) and Thurnham (SD45H).

Taraxacum intumescens G.E. Haglund

Very rare (1). This is an uncommon introduction of roadsides and ruderal habitats found mostly in southern England. In northern Lancashire T. intumescens was found at Longridge (SD63D).

Taraxacum ancistrolobum Dahlst.

Frequent (33). This is found in grassy and ruderal habitats throughout Britain but it is very rare in Ireland. T. ancistrolobum was found throughout northern Lancashire.

Taraxacum sellandii Dahlst.
",Eurosiberian–Temperate
Taraxacum piceatum,COMPOSITAE,Taraxacum ,piceatum,Leaden-bracted Dandelion,native,Dahlst.,Vas_3998,,"
Occasional (8). This is probably an introduced species found on roadsides and in ruderal habitats throughout Britain. So far this has been found in north-western areas of northern Lancashire but it is likely to be more widespread than this.

Taraxacum cyanolepis Dahlst.

Rare (5). This is found in grasslands throughout the British Isles but especially in Scotland. It has apparently become less common since 1970 (Dudman and Richards, 1997) and is absent from large areas of Britain. In northern Lancashire T. cyanolepis was found near Carnforth (SD57A), Burrow-with-Burrow (SD67A), Goosnargh (SD53P), Hothersall (SD63I) and Weeton-with-Preese (SD33X).

Taraxacum acutifrons Markl.

Rare (2). This introduced species is found on roadsides and in ruderal habitats in western England and Wales. In northern Lancashire T. acutifrons was found at Over Kellet (SD57K) and near Carnforth (SD57A).

Taraxacum tumentilobum Markl. Ex Puol.

Rare (2). T. tumentilobum is probably introduced and occurs in grassy and ruderal habitats in scattered localities throughout Britain. In northern Lancashire it was found at Tatham (SD66J) and Thurnham (SD45H).

Taraxacum intumescens G.E. Haglund

Very rare (1). This is an uncommon introduction of roadsides and ruderal habitats found mostly in southern England. In northern Lancashire T. intumescens was found at Longridge (SD63D).

Taraxacum ancistrolobum Dahlst.
",Eurosiberian–Temperate
Taraxacum sellandii,COMPOSITAE,Taraxacum ,sellandii,Selland's Dandelion,native,Dahlst.,Vas_9732,,"
Frequent (41). This is one of the commonest dandelions and is found in grassy and ruderal habitats throughout the British Isles. T. sellandii was found throughout northern Lancashire.

Taraxacum altissimum H. Lindb.

Rare (2). This is probably introduced and is found in grassy and ruderal habitats in scattered localities in Britain. It is uncommon. In northern Lancashire T. altissimum was found at Thurnham (SD45M) and Longridge (SD63D).

Taraxacum interveniens G.E. Haglund

Very rare (1). This is probably introduced and occurs in grassy and ruderal habitats in scattered localities in Britain. It is particularly associated with large urban areas. In northern Lancashire T. interveniens was found near Glasson Dock (SD45M).

Taraxacum angustisquameum Dahlst. Ex H. Lindb.

Rare (2). T. angustisquameum is probably introduced and is found in grassy and ruderal habitats in scattered localities in Britain. In northern Lancashire it was found near Carnforth (SD46Z) and near Blackpool (SD33L).

Taraxacum stereodes Ekman ex G.E. Haglund

Very rare (1). This is an introduction on major roads and found mostly in southern England. In northern Lancashire T. stereodes was found near Galgate (SD45X).

Taraxacum adiantifrons Ekman ex Dahlst.
",Eurosiberian–Temperate
Taraxacum chloroticum,COMPOSITAE,Taraxacum,chloroticum,Spiky-leaved Dandelion,introduced,Dahlst.,Vas_3951,,"
Very rare (1). This is found as an introduction on a few roadsides, mostly in south-eastern England. In northern Lancashire T. chloroticum was found near Carnforth (SD57B).

Taraxacum piceatum Dahlst.

Occasional (8). This is probably an introduced species found on roadsides and in ruderal habitats throughout Britain. So far this has been found in north-western areas of northern Lancashire but it is likely to be more widespread than this.

Taraxacum cyanolepis Dahlst.

Rare (5). This is found in grasslands throughout the British Isles but especially in Scotland. It has apparently become less common since 1970 (Dudman and Richards, 1997) and is absent from large areas of Britain. In northern Lancashire T. cyanolepis was found near Carnforth (SD57A), Burrow-with-Burrow (SD67A), Goosnargh (SD53P), Hothersall (SD63I) and Weeton-with-Preese (SD33X).

Taraxacum acutifrons Markl.

Rare (2). This introduced species is found on roadsides and in ruderal habitats in western England and Wales. In northern Lancashire T. acutifrons was found at Over Kellet (SD57K) and near Carnforth (SD57A).

Taraxacum tumentilobum Markl. Ex Puol.

Rare (2). T. tumentilobum is probably introduced and occurs in grassy and ruderal habitats in scattered localities throughout Britain. In northern Lancashire it was found at Tatham (SD66J) and Thurnham (SD45H).

Taraxacum intumescens G.E. Haglund
",Eurosiberian–Temperate
Taraxacum undulatiflorum,COMPOSITAE,Taraxacum,undulatiflorum,Dull-leaved Dandelion,native,M.P.Christ.,Vas_4030,,"
Occasional (9). T. undulatiflorum is probably an introduction found on roadsides and in ruderal habitats in Britain and eastern Ireland. It probably occurs throughout northern Lancashire although most records are from the north-west of the area.

Taraxacum chloroticum Dahlst.

Very rare (1). This is found as an introduction on a few roadsides, mostly in south-eastern England. In northern Lancashire T. chloroticum was found near Carnforth (SD57B).

Taraxacum piceatum Dahlst.

Occasional (8). This is probably an introduced species found on roadsides and in ruderal habitats throughout Britain. So far this has been found in north-western areas of northern Lancashire but it is likely to be more widespread than this.

Taraxacum cyanolepis Dahlst.

Rare (5). This is found in grasslands throughout the British Isles but especially in Scotland. It has apparently become less common since 1970 (Dudman and Richards, 1997) and is absent from large areas of Britain. In northern Lancashire T. cyanolepis was found near Carnforth (SD57A), Burrow-with-Burrow (SD67A), Goosnargh (SD53P), Hothersall (SD63I) and Weeton-with-Preese (SD33X).

Taraxacum acutifrons Markl.

Rare (2). This introduced species is found on roadsides and in ruderal habitats in western England and Wales. In northern Lancashire T. acutifrons was found at Over Kellet (SD57K) and near Carnforth (SD57A).

Taraxacum tumentilobum Markl. Ex Puol.
",Eurosiberian–Temperate
Taraxacum adiantifrons,COMPOSITAE,Taraxacum ,adiantifrons,Pretty-leaved Dandelion,native,E.Ekman ex Dahlst.,Vas_9712,,"
Rare (4). This is probably introduced and occurs in grassy and ruderal habitats throughout Britain. In northern Lancashire T. adiantifrons was recorded from Yealand Redmayne (SD$&Y), Yealand Conyers (SD47X), Slyne-with-Hest (SD46S) and Hornby-with-Farleton (SD56Y).

Taraxacum aequilobum Dahlst.

Occasional (11). T. aequilobum is probably introduced and is found in grassy and ruderal habitats throughout the British Isles. It probably occurs throughout northern Lancashire but so far it has only been found in the north of the area.

Taraxacum latissimum Palmgr.

Rare (2). This is an introduced species that is widespread in Britain in ruderal habitats. In northern Lancashire T. latissimum was found at Tatham (SD66I) and on the Lune estuary (SD45H).

Taraxacum edmondsonianum H. Øllg.

Very rare (1). So far this has only been found in the British Isles in north-western England, Monmouthshire and Midlothian.  In northern England T. edmondsonianum was found near Scorton (SD54E).

Taraxacum acroglossum Dahlst.

Rare (6). This is probably introduced and is found in grassy and ruderal habitats in scattered localities in Britain. In northern Lancashire it was found Whittington (SD57X), Borwick (SD57G), near Carnforth (SD47V & SD57B), Bolton-le-Sands (SD46Z) and Ashton-with-Stodday (SD45T).

Taraxacum exsertum Hagend., Soest & Zevenb.
",Eurosiberian–Temperate
Taraxacum caloschistum,COMPOSITAE,Taraxacum ,caloschistum,Brilliant-stalked Dandelion,introduced,Dahlst.,Vas_7615,,Text,Eurosiberian–Temperate
Taraxacum exacutum,COMPOSITAE,Taraxacum ,exacutum,Imbricate-bracted Dandelion,native,Markl.,Vas_3920,,"
Occasional (10). T. exacutum is probably introduced and occurs on waste land, tips and in other ruderal habitats in most parts of Britain. So far it has only been found in north-western parts of northern Lancashire but it is likely to be widespread in the area.

Taraxacum pannulatum Dahlst.

Occasional (8). T. pannulatum is probably introduced and is found in grassy and ruderal habitats in many parts of Britain but especially in western areas. It is found in scattered localities in the north of northern Lancashire but it is probably more widespread than this suggests.

Taraxacum lingulatum Markl.

Frequent (32). This is a common species found throughout the British Isles in grassy and ruderal habitats. It was found throughout northern Lancashire.

Taraxacum macranthoides G.E. Haglund

Very rare (1). This is an introduced species found in a few British localities. In northern Lancashiare T. macranthoides was found on a roadside at Carnforth (SD57A).

Taraxacum rhamphodes G.E. Haglund

Occasional (8). This introduced species is found in grassy and ruderal habitats throughout Britain. T. rhamphodes was found in scattered localities in northern Lancashire.

Taraxacum vastisectum Markl. Ex Puol.
",Eurosiberian–Temperate
Taraxacum incisum,COMPOSITAE,Taraxacum ,incisum,Incise-leaved Dandelion,introduced,H.Øllg.,Vas_3932,,Text,Eurosiberian–Temperate
Taraxacum retroflexum,COMPOSITAE,Taraxacum ,retroflexum,Reflexed-lobed Dandelion,introduced,H.Lindb.,Vas_4007,,Text,Eurosiberian–Temperate
Taraxacum sinuatum,COMPOSITAE,Taraxacum ,sinuatum,Sinuate-lobed Dandelion,native,Dahlst.,Vas_4015,,"
Rare (5). T. sinuatum is found in grassy and ruderal habitats mostly in western Britain. In northern Lancashire it was found at Yealand Redmayne (SD47T), near Warton (SD47V), near Carnforth (SD46Z), Scotforth (SD45Y) and near Abbeystead (SD55M).

Taraxacum stenoglossum Dahlst. (= T. dahlstedtii H. Lindb. in Dudman and Richards, 1997)

Occasional (17). This is found in grassy and ruderal habitats throughout the British Isles but especially near the coast, at least in northern Britain. In northern Lancashire T. stenoglossum was found in western areas of northern Lancashire.

Taraxacum latisectum H. Lindb.

Rare (3). This is found in grassy places, especially fertile pastures. It is widespread but local in England and Wales but rare in Scotland and Ireland. In northern Lancashire T. latisectum was found in Silverdale (SD47T), Ashton-with-Stodday (SD45T) and in Over Wyresdale (SD55S).

Taraxacum huelphersianum C.E. Haglund

Very rare (1). T. huelphersianum is probably introduced and occurs in grassy and ruderal habitats in scattered localities in Britain. In northern Lancashire it was found at Conder Green (SD45S).

Taraxacum fagerstroemii Såltin

Very rare (1). This is an introduced species found in grassy places and on road verges in scattered localities in Britain. In northern Lancashire T. fagerstroemii was found at Bolton-le-Sands (SD46Y).

Taraxacum pectinatiforme H. Lindeb.
",Eurosiberian–Temperate
Taraxacum stenoglossum,COMPOSITAE,Taraxacum ,stenoglossum,Dahlstedt's Dandelion,native,Brenner,Vas_3835,,"
Occasional (17). This is found in grassy and ruderal habitats throughout the British Isles but especially near the coast, at least in northern Britain. In northern Lancashire T. stenoglossum was found in western areas of northern Lancashire.

Taraxacum latisectum H. Lindb.

Rare (3). This is found in grassy places, especially fertile pastures. It is widespread but local in England and Wales but rare in Scotland and Ireland. In northern Lancashire T. latisectum was found in Silverdale (SD47T), Ashton-with-Stodday (SD45T) and in Over Wyresdale (SD55S).

Taraxacum huelphersianum C.E. Haglund

Very rare (1). T. huelphersianum is probably introduced and occurs in grassy and ruderal habitats in scattered localities in Britain. In northern Lancashire it was found at Conder Green (SD45S).

Taraxacum fagerstroemii Såltin

Very rare (1). This is an introduced species found in grassy places and on road verges in scattered localities in Britain. In northern Lancashire T. fagerstroemii was found at Bolton-le-Sands (SD46Y).

Taraxacum pectinatiforme H. Lindeb.

Rare (3). T. pectinatiforme is probably introduced and is found in grassy and ruderal habitats in scattered localities in Britain but very rarely in Ireland. In northern Lancashire it was found at Cockerham (SD45G, L) and near Carnforth (SD47V).

Taraxacum trilobatum Palmgr.
",Eurosiberian–Temperate
